request_id;created_date;closed_date;source_department;product_area;request_type;priority;status;subject;description;assigned_team_member;resolution_time_hours;sla_hours;sla_breached;reopened;client_satisfaction
REQ-1001;03-05-2026;;Sales;analytics;консультация;low;in_progress;Вопрос по интерпретации метрики;Нужно объяснить изменение метрики конверсии. Видим падение после релиза, но причина может быть в изменении фильтра.;Дмитрий;86.4;64;yes;no;
REQ-1002;16-04-2026;18-04-2026;Compliance;reporting;ошибка в данных;low;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Мария;43.3;72;no;no;2
REQ-1003;2026-04-16;;Штаб;limits;запрос на изменение;medium;in_progress;Изменить лимит по операции;Требуется изменение бизнес-правила по лимитам. Запрос связан с новым процессом согласования, impact нужно оценить до следующего спринта.;Ольга;;120;no;no;
REQ-1004;2026-05-09 15:00:00;09.05.2026 16:36;Операционный блок;access_control;доступ/роль;medium;resolved;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;Дмитрий;1.6;24;no;no;4
REQ-1005;2026-04-12 12:00:00;2026-04-13 01:36:00;Продажи;client_profile;доступ/роль;high;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;;13.6;8;yes;no;3
REQ-1006;2026/04/22;2026-04-24;Финансы;client_profile;доступ/роль;low;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Сергей;47.8;48;no;no;
REQ-1007;28.04.2026;2026-05-02 14:33:00;Risk Department;reporting;выгрузка данных;medium;resolved;Нужна выгрузка для штаба;Просим подготовить выгрузку с детализацией по клиентам и статусам заявок. Срок сжатый, отчет нужен для еженедельного штаба.;Екатерина;96.3;72;yes;no;5
REQ-1008;12-04-2026;;Финансы;payments;инцидент;medium;in_progress;Платежи зависают в статусе waiting;Часть платежей не переходит в финальный статус. Клиенты звонят в операционный блок, требуется срочная диагностика интеграции.;Дмитрий;;24;no;no;
REQ-1009;26-04-2026;2026/04/26;Operations;integration;инцидент;critical;resolved;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Екатерина;10.4;4;yes;no;4
REQ-1010;08.05.2026 13:15;08.05.2026 23:15;Продажи;reporting;ошибка в данных;critical;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Мария;10.0;8;yes;no;
REQ-1011;25-04-2026;2026/04/27;Compliance;reporting;ошибка в данных;medium;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Дмитрий;41.1;36;yes;no;3
REQ-1012;2026-04-27 11:15:00;27.04.2026 23:21;Штаб;reporting;выгрузка данных;critical;resolved;Нужна выгрузка для штаба;Просим подготовить выгрузку с детализацией по клиентам и статусам заявок. Срок сжатый, отчет нужен для еженедельного штаба.;Николай;12.1;12;yes;yes;
REQ-1013;2026-04-22;22.04.2026;Операционный блок;client_profile;доступ/роль;high;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Иван;5.3;8;no;no;4
REQ-1014;12.04.2026;;Продажи;analytics;консультация;low;new;Вопрос по интерпретации метрики;Нужно объяснить изменение метрики конверсии. Видим падение после релиза, но причина может быть в изменении фильтра.;Иван;;64;no;no;
REQ-1015;17-04-2026;;Финансы;integration;инцидент;medium;in_progress;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Екатерина;;24;no;no;
REQ-1016;30-04-2026;30.04.2026;Блок рисков;reporting;ошибка в данных;high;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Мария;4.4;16;no;no;
REQ-1017;12-04-2026;;Operations;client_profile;доступ/роль;high;new;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Иван;13.0;8;yes;no;
REQ-1018;07-05-2026;;Блок рисков;access_control;доступ/роль;medium;in_progress;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;Павел;7.8;12;no;no;
REQ-1019;2026-04-25;;Операционный блок;regulatory;регламентная операция;high;waiting;Регламентная сверка для комплаенса;Необходимо выполнить сверку перед отправкой регуляторного отчета. Есть риск срыва срока из-за ожидания данных от смежной команды.;Сергей;14.2;12;yes;no;
REQ-1020;09.05.2026;;Комплаенс;integration;инцидент;medium;new;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Дмитрий;39.5;24;yes;yes;
REQ-1021;08-05-2026;14.05.2026 18:36;Блок рисков;data_quality;ошибка в данных;low;resolved;Дубли клиентов в витрине;В выгрузке обнаружены дубли клиентов после объединения источников. Похожая проблема уже была на прошлой неделе, возможно регрессия ETL.;Иван;150.6;72;yes;no;4
REQ-1022;2026/04/19;19.04.2026 23:00;Продажи;payments;инцидент;high;resolved;Платежи зависают в статусе waiting;Часть платежей не переходит в финальный статус. Клиенты звонят в операционный блок, требуется срочная диагностика интеграции.;Иван;6.5;8;no;no;
REQ-1023;2026-05-08 10:15:00;;Sales;payments;инцидент;critical;waiting;Платежи зависают в статусе waiting;Часть платежей не переходит в финальный статус. Клиенты звонят в операционный блок, требуется срочная диагностика интеграции.;;;4;no;no;
REQ-1024;2026/05/06;2026/05/11;Operations;regulatory;регламентная операция;low;resolved;Регламентная сверка для комплаенса;Необходимо выполнить сверку перед отправкой регуляторного отчета. Есть риск срыва срока из-за ожидания данных от смежной команды.;Николай;124.5;48;yes;yes;
REQ-1025;2026/05/02;2026-05-05;Операционный блок;risk_models;методологический вопрос;medium;resolved;Уточнение расчета риск-показателя;Нужно подтвердить методику расчета риск-показателя для нового сегмента. Есть расхождение между регламентом и фактической формулой в системе.;Анна;77.2;72;yes;yes;4
REQ-1026;2026/04/18;2026-04-18;Операционный блок;payments;инцидент;high;resolved;Платежи зависают в статусе waiting;Часть платежей не переходит в финальный статус. Клиенты звонят в операционный блок, требуется срочная диагностика интеграции.;Николай;2.6;8;no;yes;3
REQ-1027;2026-04-23 11:00:00;;Риски;integration;инцидент;medium;waiting;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Сергей;37.3;24;yes;yes;
REQ-1028;21-04-2026;21.04.2026;Support;client_profile;доступ/роль;high;cancelled;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Мария;6.0;8;no;no;
REQ-1029;2026-05-09;09.05.2026;Поддержка;reporting;ошибка в данных;low;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Екатерина;1;72;no;no;3
REQ-1030;2026-05-06;;Финансы;data_quality;ошибка в данных;medium;waiting;Некорректные остатки в витрине;После ночной загрузки остатки по части счетов не совпадают с АБС. Возможна проблема дедупликации и поздних транзакций, нужна проверка витрины отчетности.;Иван;14.1;36;no;yes;
REQ-1031;26-04-2026;2026/05/04;Финансы;data_quality;ошибка в данных;high;resolved;Остатки не сходятся в отчете;После ночной загрузки остатки по части счетов не совпадают с АБС. Возможна проблема дедупликации и поздних транзакций, нужна проверка витрины отчетности.;Сергей;197.0;16;yes;yes;4
REQ-1032;11.04.2026 15:00;2026-04-13 04:00:00;Финансы;data_quality;ошибка в данных;medium;resolved;Расхождение остатков в отчете;После ночной загрузки остатки по части счетов не совпадают с АБС. Возможна проблема дедупликации и поздних транзакций, нужна проверка витрины отчетности.;Сергей;37.0;36;yes;no;4
REQ-1033;2026-04-13;19-04-2026;Продажи;limits;запрос на изменение;high;resolved;Изменить лимит по операции;Требуется изменение бизнес-правила по лимитам. Запрос связан с новым процессом согласования, impact нужно оценить до следующего спринта.;Екатерина;130.7;72;yes;no;4
REQ-1034;23.04.2026 14:45;26.04.2026 12:21;Блок рисков;risk_models;методологический вопрос;medium;resolved;Уточнение расчета риск-показателя;Нужно подтвердить методику расчета риск-показателя для нового сегмента. Есть расхождение между регламентом и фактической формулой в системе.;Дмитрий;69.6;72;no;no;3
REQ-1035;2026-04-20 10:15:00;21-04-2026;Support;analytics;консультация;high;resolved;Вопрос по интерпретации метрики;Нужно объяснить изменение метрики конверсии. Видим падение после релиза, но причина может быть в изменении фильтра.;Екатерина;24.3;16;yes;no;5
REQ-1036;2026-05-02;2026-05-04;Finance;integration;инцидент;medium;resolved;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Николай;54.5;24;yes;no;
REQ-1037;2026/05/07;;Sales;regulatory;регламентная операция;medium;in_progress;Регламентная сверка для комплаенса;Необходимо выполнить сверку перед отправкой регуляторного отчета. Есть риск срыва срока из-за ожидания данных от смежной команды.;Николай;;24;no;no;
REQ-1038;2026-05-03 17:45:00;03-05-2026;Finance;access_control;доступ/роль;medium;resolved;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;Николай;1;24;no;no;4
REQ-1039;12.04.2026;;Operations;client_profile;доступ/роль;medium;waiting;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Мария;;24;no;no;
REQ-1040;02.05.2026 12:00;02-05-2026;Финансы;data_quality;ошибка в данных;high;resolved;Дубли клиентов в витрине;В выгрузке обнаружены дубли клиентов после объединения источников. Похожая проблема уже была на прошлой неделе, возможно регрессия ETL.;Екатерина;7.4;16;no;no;
REQ-1041;2026-05-04 15:45:00;;Продажи;reporting;ошибка в данных;high;new;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Екатерина;;16;no;no;
REQ-1042;2026-05-08 12:45:00;;Комплаенс;regulatory;регламентная операция;high;in_progress;Регламентная сверка для комплаенса;Необходимо выполнить сверку перед отправкой регуляторного отчета. Есть риск срыва срока из-за ожидания данных от смежной команды.;Сергей;;12;no;yes;
REQ-1043;06-05-2026;2026-05-06 17:15:00;Operations;data_quality;ошибка в данных;high;cancelled;Дубли клиентов в витрине;В выгрузке обнаружены дубли клиентов после объединения источников. Похожая проблема уже была на прошлой неделе, возможно регрессия ETL.;Екатерина;1;16;no;yes;
REQ-1044;2026-04-22;2026/04/27;Finance;payments;инцидент;low;resolved;Платежи зависают в статусе waiting;Часть платежей не переходит в финальный статус. Клиенты звонят в операционный блок, требуется срочная диагностика интеграции.;Дмитрий;124.6;48;yes;no;4
REQ-1045;2026-04-21 12:00:00;22.04.2026;Finance;regulatory;регламентная операция;low;resolved;Регламентная сверка для комплаенса;Необходимо выполнить сверку перед отправкой регуляторного отчета. Есть риск срыва срока из-за ожидания данных от смежной команды.;Мария;15.1;48;no;no;4
REQ-1046;2026/04/16;2026-04-20 22:54:00;Опер. блок;data_quality;ошибка в данных;high;resolved;Остатки не сходятся в отчете;После ночной загрузки остатки по части счетов не совпадают с АБС. Возможна проблема дедупликации и поздних транзакций, нужна проверка витрины отчетности.;Ольга;102.4;16;yes;no;3
REQ-1047;2026-04-22 15:15:00;;Поддержка;integration;инцидент;high;new;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Ольга;10.1;8;yes;yes;
REQ-1048;2026-05-05 09:30:00;2026-05-05;Risk Department;integration;инцидент;high;resolved;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Екатерина;5.3;8;no;no;3
REQ-1049;23.04.2026;23-04-2026;Поддержка;access_control;доступ/роль;high;resolved;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;;4.8;8;no;no;4
REQ-1050;2026/04/24;2026/04/25;Risk Department;reporting;выгрузка данных;medium;resolved;Нужна выгрузка для штаба;Просим подготовить выгрузку с детализацией по клиентам и статусам заявок. Срок сжатый, отчет нужен для еженедельного штаба.;Ольга;26.4;48;no;no;
REQ-1051;2026-04-18;19-04-2026;Finance;integration;инцидент;high;resolved;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Павел;12.1;8;yes;no;5
REQ-1052;2026/04/22;2026-04-23 05:48:00;Блок рисков;reporting;выгрузка данных;medium;resolved;Нужна выгрузка для штаба;Просим подготовить выгрузку с детализацией по клиентам и статусам заявок. Срок сжатый, отчет нужен для еженедельного штаба.;Ольга;17.3;48;no;no;5
REQ-1053;2026-04-16 14:00:00;2026-04-18 22:06:00;Блок рисков;client_profile;доступ/роль;low;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Павел;56.1;48;yes;no;
REQ-1054;26.04.2026;2026/04/27;Compliance;integration;инцидент;critical;resolved;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Ольга;12.0;6;yes;yes;
REQ-1055;2026-04-25;26-04-2026;Опер. блок;analytics;консультация;high;resolved;Вопрос по интерпретации метрики;Нужно объяснить изменение метрики конверсии. Видим падение после релиза, но причина может быть в изменении фильтра.;Павел;16.5;16;yes;no;4
REQ-1056;28-04-2026;;Продажи;data_quality;ошибка в данных;medium;in_progress;Дубли клиентов в витрине;В выгрузке обнаружены дубли клиентов после объединения источников. Похожая проблема уже была на прошлой неделе, возможно регрессия ETL.;Дмитрий;25.8;36;no;no;
REQ-1057;29.04.2026;2026/04/29;Штаб;integration;инцидент;medium;resolved;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Дмитрий;1;24;no;no;
REQ-1058;2026-05-01;;Блок рисков;analytics;консультация;medium;in_progress;Вопрос по интерпретации метрики;Нужно объяснить изменение метрики конверсии. Видим падение после релиза, но причина может быть в изменении фильтра.;Павел;14.9;32;no;yes;
REQ-1059;19.04.2026 16:00;2026-04-20 17:30:00;Опер. блок;client_profile;доступ/роль;medium;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Екатерина;25.5;24;yes;no;4
REQ-1060;2026-05-09;;Finance;client_profile;доступ/роль;high;new;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Ольга;;8;no;no;
REQ-1061;02.05.2026 15:30;2026/05/03;Комплаенс;access_control;доступ/роль;high;resolved;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;Иван;14.7;8;yes;no;
REQ-1062;04-05-2026;04-05-2026;Комплаенс;integration;инцидент;critical;resolved;Ошибка обмена со смежной системой;Интеграционный поток вернул серию 500 ошибок. В логах таймауты, бизнес-процесс остановлен для части операций.;Екатерина;7.9;4;yes;no;
REQ-1063;2026/04/23;2026/04/25;Опер. блок;reporting;выгрузка данных;medium;resolved;Нужна выгрузка для штаба;Просим подготовить выгрузку с детализацией по клиентам и статусам заявок. Срок сжатый, отчет нужен для еженедельного штаба.;Павел;48.1;48;yes;no;2
REQ-1064;2026-05-04;05-05-2026;Штаб;risk_models;методологический вопрос;medium;resolved;Уточнение расчета риск-показателя;Нужно подтвердить методику расчета риск-показателя для нового сегмента. Есть расхождение между регламентом и фактической формулой в системе.;Павел;31.4;72;no;yes;5
REQ-1065;2026-04-14;15.04.2026;Финансы;client_profile;доступ/роль;medium;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Николай;15.4;24;no;no;2
REQ-1066;09-05-2026;09.05.2026;Поддержка;client_profile;доступ/роль;critical;resolved;Не работает роль просмотра профиля;Пользователь видит ошибку доступа при открытии карточки клиента. Роль назначена, но права не применились после ночной синхронизации.;Екатерина;3.0;4;no;no;4
REQ-1067;27-04-2026;;Блок рисков;access_control;доступ/роль;medium;in_progress;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;Дмитрий;35.2;24;yes;no;
REQ-1068;26.04.2026 13:00;;Finance;limits;запрос на изменение;critical;waiting;Изменить лимит по операции;Требуется изменение бизнес-правила по лимитам. Запрос связан с новым процессом согласования, impact нужно оценить до следующего спринта.;Мария;42.7;36;yes;no;
REQ-1069;2026-04-27 17:45:00;28.04.2026 08:45;Risk Department;access_control;доступ/роль;medium;resolved;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;Анна;15.0;24;no;no;5
REQ-1070;05.05.2026;2026-05-05 23:51:00;Операционный блок;access_control;доступ/роль;high;cancelled;Массовое добавление ролей;Нужно массово выдать роли сотрудникам нового подразделения. Список приложен в заявке, часть пользователей отсутствует в справочнике.;Павел;8.1;8;yes;no;
REQ-1071;20-04-2026;;Опер. блок;regulatory;регламентная операция;critical;in_progress;Регламентная сверка для комплаенса;Необходимо выполнить сверку перед отправкой регуляторного отчета. Есть риск срыва срока из-за ожидания данных от смежной команды.;Мария;1.4;6;no;no;
REQ-1072;02.05.2026 15:00;2026/05/06;Операционный блок;risk_models;методологический вопрос;medium;resolved;Уточнение расчета риск-показателя;Нужно подтвердить методику расчета риск-показателя для нового сегмента. Есть расхождение между регламентом и фактической формулой в системе.;;92.5;72;yes;no;5
REQ-1073;2026-05-01 13:15:00;2026-05-01;Operations;reporting;выгрузка данных;medium;resolved;Нужна выгрузка для штаба;Просим подготовить выгрузку с детализацией по клиентам и статусам заявок. Срок сжатый, отчет нужен для еженедельного штаба.;Павел;1.8;48;no;yes;3
REQ-1074;11.04.2026 14:00;;Финансы;risk_models;методологический вопрос;critical;waiting;Уточнение расчета риск-показателя;Нужно подтвердить методику расчета риск-показателя для нового сегмента. Есть расхождение между регламентом и фактической формулой в системе.;Николай;;12;no;no;
REQ-1075;2026-04-15 11:00:00;15.04.2026 14:54;Блок рисков;analytics;консультация;high;resolved;Вопрос по интерпретации метрики;Нужно объяснить изменение метрики конверсии. Видим падение после релиза, но причина может быть в изменении фильтра.;Павел;3.9;16;no;no;4
REQ-1010-DUP;08.05.2026 13:15;08.05.2026 23:15;Продажи;reporting;ошибка в данных;critical;resolved;Некорректные значения в отчете;В витрине отчетности расходятся суммы за период. Похоже, часть операций попала в неверный бизнес-сегмент, нужна проверка data_quality и мэппинга.;Мария;10.0;8;yes;no;
REQ-1031-copy;26-04-2026;2026/05/04;Финансы;data_quality;ошибка в данных;high;resolved;Остатки не сходятся в отчете повторно;После ночной загрузки остатки по части счетов не совпадают с АБС. Возможна проблема дедупликации и поздних транзакций, нужна повторная проверка витрины отчетности.;Сергей;197.0;16;yes;yes;4
REQ-1064_DUP;2026-05-04;05-05-2026;Штаб;risk_models;методологический вопрос;medium;resolved;Уточнение расчета риск-показателя;Нужно подтвердить методику расчета риск-показателя для нового сегмента. Есть расхождение между регламентом и фактической формулой в системе.;Павел;31.4;72;no;yes;5
REQ-2001;05/05/2026;;Комплаенс ;regulatory;регламентная операция;critical;waiting;Критичная сверка перед регуляторной отправкой;"Не хватает подтверждения от смежной команды. Формально операция регламентная, но риск бизнес-штрафа высокий; требуется эскалация и ручной контроль.";Анна;;12;no;no;
REQ-2002;2026.05.06;2026.05.07;Risk Dept.;risk_models;методологический вопрос;high;resolved;Формула риска отличается от регламента;В описании методики один коэффициент считается по старой версии. Неочевидная тема: проблема не в модели, а в устаревшем справочнике параметров.;Elena Petrova;30;24;yes;yes;2
REQ-2003;07-05-2026 10:15;08.05.2026 18:00;Фин. блок;analytics;консультация;medium;resolved;Почему упала конверсия в воронке;На первый взгляд просадка в продажах, но после релиза изменился фильтр исключения тестовых клиентов. Требуется пояснение для владельца процесса.;Мария;31.8;32;no;no;5
REQ-2004;2026-05-08T11:00:00;;Операционный Блок;payments;инцидент;critical;in_progress;Платежи зависли после релиза;Похожий инцидент уже был: статусы waiting не закрываются, в интеграции таймауты. Высокий бизнес-вес, есть риск массовых жалоб внутренних клиентов.;Алексей;7.5;4;yes;no;
REQ-2005;08.05.26;09.05.26;support;access_control;доступ/роль;low;resolved;Запрос роли для нового сотрудника;Запрос оформлен не по шаблону, часть данных отсутствует. Нужно уточнить табельный номер и целевой профиль доступа.;;40;48;no;no;4
